,package,installed_version,available_version
0,asyncssh,2.8.1,2.9.0
1,charset-normalizer,2.0.11,2.0.12
2,click,7.1.2,8.0.3
3,configparser,5.0.2,5.2.0
4,cryptography,3.4.8,36.0.1
5,cycler,0.10.0,0.11.0
6,Cython,0.29.26,0.29.28
7,distro,1.6.0,1.7.0
8,docutils,0.16,0.18.1
9,dvc,2.9.3,2.9.4
10,fastapi,0.73.0,0.74.0
11,Flask,2.0.2,2.0.3
12,ftfy,6.0.3,6.1.1
13,grandalf,0.6,0.7
14,gunicorn,20.0.4,20.1.0
15,importlib-metadata,4.8.1,4.11.1
16,ipykernel,6.8.0,6.9.1
17,itsdangerous,2.0.1,2.1.0
18,jupyter-core,4.9.1,4.9.2
19,kiwisolver,1.3.1,1.3.2
20,lxml,4.5.1,4.8.0
21,mailchecker,4.1.11,4.1.12
22,MarkupSafe,2.0.1,2.1.0
23,matplotlib,3.3.4,3.5.1
24,mccabe,0.6.1,0.7.0
25,mistune,0.8.4,2.0.2
26,nbclient,0.5.10,0.5.11
27,nbconvert,6.4.1,6.4.2
28,numpy,1.19.4,1.21.5
29,phonenumbers,8.12.42,8.12.43
30,Pillow,8.1.0,9.0.1
31,platformdirs,2.4.1,2.5.0
32,prompt-toolkit,3.0.26,3.0.28
33,protobuf,3.19.3,3.19.4
34,pyOpenSSL,21.0.0,22.0.0
35,pyparsing,2.4.7,3.0.7
36,pytest,7.0.0,7.0.1
37,python-benedict,0.24.3,0.25.0
38,python-dateutil,2.8.1,2.8.2
39,python-slugify,5.0.2,6.0.1
40,pytz,2021.1,2021.3
41,rich,11.0.0,11.2.0
42,ruamel.yaml,0.17.20,0.17.21
43,scipy,1.6.1,1.7.3
44,scmrepo,0.0.7,0.0.8
45,seaborn,0.11.1,0.11.2
46,setuptools,60.3.1,60.9.3
47,simplejson,3.17.2,3.17.6
48,six,1.15.0,1.16.0
49,starlette,0.17.1,0.18.0
50,streamlit,1.5.0,1.5.1
51,threadpoolctl,2.1.0,3.1.0
52,tomli,2.0.0,2.0.1
53,tornado,5.1.1,6.1
54,typing-extensions,3.10.0.2,4.1.1
55,uvicorn,0.17.4,0.17.5
56,Werkzeug,2.0.2,2.0.3
57,zipp,3.6.0,3.7.0
